Time,Cpu_Usage_Percentage,Network_Call,RAM_Usage_Percentage,Garbage_Collector,Class
Sun Jul 25 2021 16:45:43 GMT+0200 (GMT+02:00),0.00149309,,209858560,146368056,normal
Sun Jul 25 2021 16:45:44 GMT+0200 (GMT+02:00),0.00149309,,209858560,146368056,normal
Sun Jul 25 2021 16:45:45 GMT+0200 (GMT+02:00),0.0016885,,209858560,146368056,normal
Sun Jul 25 2021 16:45:45 GMT+0200 (GMT+02:00),0.0016885,[OUT] - 200 [GET] http://www.google.it/,209858560,146368056,normal
Sun Jul 25 2021 16:45:46 GMT+0200 (GMT+02:00),0.0016885,,209858560,146368056,normal
Sun Jul 25 2021 16:45:47 GMT+0200 (GMT+02:00),0.00163439,,209997824,146368056,normal
Sun Jul 25 2021 16:45:48 GMT+0200 (GMT+02:00),0.00163439,,209997824,146368056,normal
Sun Jul 25 2021 16:45:48 GMT+0200 (GMT+02:00),0.00163439,[OUT] - 200 [GET] http://www.google.it/,209997824,146368056,normal
Sun Jul 25 2021 16:45:49 GMT+0200 (GMT+02:00),0.00163439,,209997824,146426936,normal
Sun Jul 25 2021 16:45:50 GMT+0200 (GMT+02:00),0.00163439,,209997824,146426936,normal
Sun Jul 25 2021 16:45:51 GMT+0200 (GMT+02:00),0.00173347,,209641472,146426936,normal
Sun Jul 25 2021 16:45:51 GMT+0200 (GMT+02:00),0.00173347,[OUT] - 200 [GET] http://www.google.it/,209641472,146426936,normal
Sun Jul 25 2021 16:45:52 GMT+0200 (GMT+02:00),0.00173347,,209641472,146426936,normal
Sun Jul 25 2021 16:45:53 GMT+0200 (GMT+02:00),0.00184454,,209399808,146516296,normal
Sun Jul 25 2021 16:45:54 GMT+0200 (GMT+02:00),0.00184454,,209399808,146516296,normal
Sun Jul 25 2021 16:45:54 GMT+0200 (GMT+02:00),0.00184454,[OUT] - 200 [GET] http://www.google.it/,209399808,146516296,normal
Sun Jul 25 2021 16:45:55 GMT+0200 (GMT+02:00),0.00184454,,209399808,146516296,normal
Sun Jul 25 2021 16:45:56 GMT+0200 (GMT+02:00),0.00184454,,209399808,146516296,normal
Sun Jul 25 2021 16:45:57 GMT+0200 (GMT+02:00),0.00168058,,209883136,146516296,normal
Sun Jul 25 2021 16:45:57 GMT+0200 (GMT+02:00),0.00168058,[OUT] - 200 [GET] http://www.google.it/,209883136,146516296,normal
Sun Jul 25 2021 16:45:58 GMT+0200 (GMT+02:00),0.00168058,,209883136,146516296,normal
Sun Jul 25 2021 16:45:59 GMT+0200 (GMT+02:00),0.00192768,,209555456,146581808,normal
Sun Jul 25 2021 16:46:00 GMT+0200 (GMT+02:00),0.00192768,,209555456,146581808,normal
Sun Jul 25 2021 16:46:00 GMT+0200 (GMT+02:00),0.00192768,[OUT] - 200 [GET] http://www.google.it/,209555456,146581808,normal
Sun Jul 25 2021 16:46:00 GMT+0200 (GMT+02:00),0.00192768,[IN] - 200 [DELETE] /api/patients/60fd76117e311a3c033989bf,209555456,146581808,normal
Sun Jul 25 2021 16:46:01 GMT+0200 (GMT+02:00),0.00192768,,209375232,146665488,normal
Sun Jul 25 2021 16:46:02 GMT+0200 (GMT+02:00),0.00192768,,209375232,146665488,normal
Sun Jul 25 2021 16:46:03 GMT+0200 (GMT+02:00),0.0025241,[IN] - 200 [GET] /api/patients,209375232,146665488,normal
Sun Jul 25 2021 16:46:03 GMT+0200 (GMT+02:00),0.0025241,,209375232,146665488,normal
Sun Jul 25 2021 16:46:03 GMT+0200 (GMT+02:00),0.0025241,[OUT] - 200 [GET] http://www.google.it/,209375232,146665488,normal
Sun Jul 25 2021 16:46:04 GMT+0200 (GMT+02:00),0.0025241,,209375232,146665488,normal
Sun Jul 25 2021 16:46:05 GMT+0200 (GMT+02:00),0.00318684,,209555456,146829512,normal
Sun Jul 25 2021 16:46:06 GMT+0200 (GMT+02:00),0.00318684,,209555456,146829512,normal
Sun Jul 25 2021 16:46:06 GMT+0200 (GMT+02:00),0.00318684,[OUT] - 200 [GET] http://www.google.it/,209555456,146829512,normal
Sun Jul 25 2021 16:46:07 GMT+0200 (GMT+02:00),0.00318684,[IN] - 201 [POST] /api/patients,209555456,146829512,normal
Sun Jul 25 2021 16:46:07 GMT+0200 (GMT+02:00),0.00318684,,209555456,146829512,normal
Sun Jul 25 2021 16:46:08 GMT+0200 (GMT+02:00),0.00318684,,209555456,146829512,normal
Sun Jul 25 2021 16:46:09 GMT+0200 (GMT+02:00),0.00217856,,209625088,147019976,anomaly
Sun Jul 25 2021 16:46:09 GMT+0200 (GMT+02:00),0.00217856,[OUT] - 200 [GET] http://www.google.it/,209625088,147019976,anomaly
Sun Jul 25 2021 16:46:10 GMT+0200 (GMT+02:00),0.00217856,,209625088,147019976,normal
Sun Jul 25 2021 16:46:11 GMT+0200 (GMT+02:00),0.00253501,,210190336,147019976,normal
Sun Jul 25 2021 16:46:12 GMT+0200 (GMT+02:00),0.00253501,,210190336,147019976,normal
Sun Jul 25 2021 16:46:12 GMT+0200 (GMT+02:00),0.00253501,[OUT] - 200 [GET] http://www.google.it/,210190336,147019976,normal
Sun Jul 25 2021 16:46:13 GMT+0200 (GMT+02:00),0.00253501,,210190336,147104048,normal
Sun Jul 25 2021 16:46:14 GMT+0200 (GMT+02:00),0.00253501,,210190336,147104048,normal
Sun Jul 25 2021 16:46:15 GMT+0200 (GMT+02:00),0.0017879,[IN] - 200 [GET] /api/patients,209887232,147104048,normal
Sun Jul 25 2021 16:46:15 GMT+0200 (GMT+02:00),0.0017879,,209887232,147104048,normal
Sun Jul 25 2021 16:46:15 GMT+0200 (GMT+02:00),0.0017879,[OUT] - 200 [GET] http://www.google.it/,209887232,147104048,normal
Sun Jul 25 2021 16:46:16 GMT+0200 (GMT+02:00),0.0017879,,209887232,147104048,normal
Sun Jul 25 2021 16:46:17 GMT+0200 (GMT+02:00),0.00293853,,209887232,147200024,normal
Sun Jul 25 2021 16:46:18 GMT+0200 (GMT+02:00),0.00293853,,209887232,147200024,normal
Sun Jul 25 2021 16:46:18 GMT+0200 (GMT+02:00),0.00293853,[OUT] - 200 [GET] http://www.google.it/,209887232,147200024,normal
Sun Jul 25 2021 16:46:19 GMT+0200 (GMT+02:00),0.00293853,[IN] - 200 [DELETE] /api/patients/60fd76e27e311a3c033989c6,209911808,147200024,normal
Sun Jul 25 2021 16:46:19 GMT+0200 (GMT+02:00),0.00293853,,209911808,147200024,normal
Sun Jul 25 2021 16:46:20 GMT+0200 (GMT+02:00),0.00293853,,209911808,147200024,normal
Sun Jul 25 2021 16:46:21 GMT+0200 (GMT+02:00),0.00198708,,209723392,147283568,normal
Sun Jul 25 2021 16:46:21 GMT+0200 (GMT+02:00),0.00198708,[OUT] - 200 [GET] http://www.google.it/,209723392,147283568,normal
Sun Jul 25 2021 16:46:22 GMT+0200 (GMT+02:00),0.00198708,,209723392,147283568,normal
Sun Jul 25 2021 16:46:23 GMT+0200 (GMT+02:00),0.00198708,,209723392,147283568,normal
Sun Jul 25 2021 16:46:24 GMT+0200 (GMT+02:00),0.00198708,,209723392,147283568,normal
Sun Jul 25 2021 16:46:24 GMT+0200 (GMT+02:00),0.00198708,[OUT] - 200 [GET] http://www.google.it/,209723392,147283568,normal
