Time,Cpu_Usage_Percentage,Network_Call,RAM_Usage_Percentage,Garbage_Collector,Class
Tue Jul 13 2021 18:32:31 GMT+0200 (GMT+02:00),0.00189509,[IN] - 200 [DELETE] /api/patients/60edbe2dcd0ced4782632235,204611584,145649656,normal
Tue Jul 13 2021 18:32:31 GMT+0200 (GMT+02:00),0.00189509,[OUT] - 200 [POST] http://localhost:9500/,204611584,145649656,anomaly
Tue Jul 13 2021 18:32:32 GMT+0200 (GMT+02:00),0.00189509,,204611584,145649656,normal
Tue Jul 13 2021 18:32:33 GMT+0200 (GMT+02:00),0.00126312,,204955648,145649656,normal
Tue Jul 13 2021 18:32:33 GMT+0200 (GMT+02:00),0.00126312,[OUT] - 200 [GET] http://www.google.it/,204955648,145649656,normal
Tue Jul 13 2021 18:32:34 GMT+0200 (GMT+02:00),0.00126312,,204955648,145649656,normal
Tue Jul 13 2021 18:32:35 GMT+0200 (GMT+02:00),0.000848977,,204701696,145722192,normal
Tue Jul 13 2021 18:32:36 GMT+0200 (GMT+02:00),0.000848977,,204701696,145722192,normal
Tue Jul 13 2021 18:32:36 GMT+0200 (GMT+02:00),0.000848977,[OUT] - 200 [GET] http://www.google.it/,204701696,145722192,normal
Tue Jul 13 2021 18:32:37 GMT+0200 (GMT+02:00),0.000848977,,204701696,145722192,normal
Tue Jul 13 2021 18:32:38 GMT+0200 (GMT+02:00),0.000848977,,204701696,145722192,normal
Tue Jul 13 2021 18:32:39 GMT+0200 (GMT+02:00),0.000722879,,205062144,145722192,normal
Tue Jul 13 2021 18:32:39 GMT+0200 (GMT+02:00),0.000722879,[IN] - 201 [POST] /api/patients,205062144,145722192,normal
Tue Jul 13 2021 18:32:39 GMT+0200 (GMT+02:00),0.000722879,[OUT] - 200 [POST] http://localhost:9500/,205062144,145722192,anomaly
Tue Jul 13 2021 18:32:39 GMT+0200 (GMT+02:00),0.000722879,[OUT] - 200 [GET] http://www.google.it/,205062144,145722192,anomaly
Tue Jul 13 2021 18:32:40 GMT+0200 (GMT+02:00),0.000722879,,205062144,145722192,normal
Tue Jul 13 2021 18:32:41 GMT+0200 (GMT+02:00),0.00211175,,205668352,146054424,normal
Tue Jul 13 2021 18:32:42 GMT+0200 (GMT+02:00),0.00211175,,205668352,146054424,normal
Tue Jul 13 2021 18:32:42 GMT+0200 (GMT+02:00),0.00211175,[OUT] - 200 [GET] http://www.google.it/,205668352,146054424,normal
