Time,Cpu_Usage_Percentage,Network_Call,RAM_Usage_Percentage,Garbage_Collector,Class
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:33 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [GET] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000422345,[IN] - 404 [POST] /,208396288,146064592,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [GET] /,207818752,146323800,anomaly
Tue Jul 13 2021 18:00:34 GMT+0200 (GMT+02:00),0.000759246,[IN] - 404 [POST] /,207818752,146323800,anomaly
